key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
10,1604,1,1822,1,0,1,4726,1,4681,1,0,1,2145,1,0,1,0,1,2664,1,2230,1,0,1,3966,1,3016,1,3537,1,4093,1,1683,1,2057,1,2661,1,3316,1,3015,1,2482,1,2356,1,2342,1,5110,10,0,1,0,1,4831,10,0,1,0,1,0,1,0,1,0,1
11,2406,1,0,1,0,1,4640,1,0,1,0,1,1960,1,0,1,0,1,2495,1,3972,1,0,1,3965,1,2660,1,3771,1,4198,1,0,1,0,1,2658,1,3539,1,3538,1,2368,1,2431,1,2418,1,5268,10,0,1,0,1,5051,10,4823,10,4824,10,0,1,0,1,0,1
12,2457,1,2573,1,0,1,4735,1,4736,1,0,1,4551,3,0,1,0,1,2673,1,3026,1,0,1,3770,1,3968,1,3017,1,2058,1,2444,1,0,1,2663,1,3018,1,3020,1,2508,1,2534,1,2547,1,5518,10,0,1,0,1,5539,10,5560,10,5342,10,0,1,0,1,0,1
13,1823,1,1998,1,0,1,4641,1,4682,1,0,1,2146,1,0,1,0,1,3775,1,0,1,0,1,2229,1,3967,1,3541,1,2108,1,0,1,0,1,2665,1,2666,1,3320,1,1684,1,1605,1,0,1,5128,10,5228,10,0,1,5540,10,4778,10,4782,10,0,1,0,1,0,1
14,3779,1,2675,1,0,1,4708,1,0,1,0,1,0,1,0,1,0,1,3544,1,0,1,0,1,3319,1,3772,1,3542,1,2668,1,2059,1,0,1,3022,1,3321,1,3969,1,1753,1,2419,1,0,1,5131,10,5111,10,5269,10,4805,10,4783,10,4830,10,0,1,0,1,0,1
15,3779,1,1895,1,2233,1,4661,1,4666,1,0,1,4555,3,0,1,0,1,2231,1,2470,1,2496,1,3546,1,4308,1,3777,1,4204,1,4094,1,4309,1,3543,1,2670,1,3322,1,2343,1,2369,1,0,1,5133,10,0,1,0,1,4781,10,4784,10,4780,10,0,1,0,1,0,1
16,2574,1,0,1,0,1,4642,1,4651,1,0,1,2147,1,1961,1,4597,3,3550,1,2680,1,0,1,3547,1,3979,1,3980,1,4095,1,2445,1,0,1,3325,1,3023,1,3974,1,2522,1,1607,1,1686,1,5130,10,0,1,0,1,4810,10,4833,10,4785,10,0,1,0,1,0,1
17,1825,1,0,1,0,1,4674,1,4683,1,4717,1,4595,3,0,1,0,1,2236,1,0,1,0,1,2672,1,3774,1,4099,1,2109,1,4311,1,4205,1,3332,1,3036,1,3038,1,1754,1,2548,1,1756,1,5132,10,0,1,0,1,4811,10,4821,10,4820,10,0,1,0,1,0,1
18,2000,1,0,1,0,1,4697,1,4709,1,0,1,4596,3,0,1,0,1,2497,1,2471,1,0,1,3549,1,3552,1,1688,1,2685,1,2687,1,2693,1,3041,1,3064,1,0,1,2370,1,2395,1,2344,1,5129,10,0,1,0,1,4786,10,5541,10,4787,10,0,1,0,1,0,1
19,1897,1,2459,1,2002,1,4667,1,0,1,0,1,4594,3,0,1,0,1,3985,1,2708,1,3793,1,3784,1,3982,1,2697,1,2691,1,2689,1,2695,1,3039,1,2699,1,2700,1,2549,1,2433,1,2536,1,5524,10,5465,10,0,1,5386,10,4796,10,0,1,0,1,0,1,0,1
20,2703,1,1827,1,2575,1,4690,1,4675,1,0,1,2149,1,4598,3,0,1,3563,1,2712,1,3045,1,4435,1,3562,1,0,1,2061,1,4430,1,4431,1,3341,1,3339,1,3561,1,1609,1,2318,1,2523,1,5229,10,0,1,0,1,5405,10,5563,10,0,1,0,1,0,1,0,1
21,1899,1,2004,1,0,1,4722,1,4746,1,4643,1,1963,1,4574,3,4575,3,3557,1,2241,1,0,1,3788,1,3790,1,3795,1,4433,1,4313,1,4209,1,3568,1,3987,1,0,1,1758,1,2484,1,2562,1,5155,10,0,1,0,1,4806,10,4812,10,0,1,0,1,0,1,0,1
22,2408,1,1833,1,0,1,4730,1,4684,1,4652,1,2151,1,4566,3,4576,3,3802,1,2723,1,0,1,3559,1,2714,1,3337,1,2446,1,2111,1,0,1,3050,1,3343,1,3800,1,2358,1,2383,1,1614,1,5270,10,0,1,0,1,4797,10,5535,10,0,1,0,1,0,1,0,1
23,2460,1,0,1,0,1,4710,1,4699,1,4662,1,0,1,0,1,0,1,2498,1,3057,1,2472,1,2710,1,3791,1,3983,1,2063,1,0,1,0,1,3053,1,3052,1,2719,1,2537,1,2434,1,1694,1,5153,10,5152,10,0,1,4835,10,0,1,0,1,0,1,0,1,0,1
24,1905,1,3805,1,2011,1,4749,1,0,1,0,1,2156,1,0,1,0,1,2725,1,2242,1,3998,1,3991,1,3989,1,3347,1,2447,1,4211,1,2728,1,3345,1,3348,1,3575,1,2550,1,1764,1,2319,1,5156,10,5154,10,0,1,5388,10,4836,10,0,1,0,1,0,1,0,1
25,2576,1,2409,1,0,1,4711,1,0,1,0,1,4552,3,0,1,0,1,3352,1,3579,1,3068,1,3799,1,3576,1,3578,1,2731,1,2118,1,2066,1,2727,1,3349,1,3351,1,2563,1,2511,1,1622,1,5157,10,0,1,0,1,4819,10,0,1,0,1,0,1,0,1,0,1
26,2246,1,1908,1,0,1,4731,1,4718,1,4644,1,0,1,0,1,0,1,2473,1,0,1,0,1,4314,1,3808,1,0,1,4317,1,4439,1,4440,1,2729,1,3066,1,3996,1,2397,1,2372,1,2346,1,5528,10,0,1,0,1,4822,10,0,1,0,1,0,1,0,1,0,1
27,1836,1,0,1,0,1,4723,1,4668,1,4653,1,1965,1,0,1,0,1,2248,1,2499,1,0,1,3810,1,3581,1,3821,1,4320,1,4322,1,4109,1,4001,1,3355,1,3090,1,2359,1,2525,1,2384,1,5523,10,0,1,0,1,4788,10,0,1,0,1,0,1,0,1,0,1
28,1627,1,0,1,0,1,4732,1,4676,1,0,1,1967,1,0,1,0,1,4007,1,3096,1,0,1,1697,1,4003,1,0,1,4328,1,4330,1,4117,1,3092,1,2734,1,4006,1,1625,1,2320,1,1769,1,5125,10,0,1,0,1,4789,10,0,1,0,1,0,1,0,1,0,1
29,2577,1,1838,1,2015,1,4827,1,0,1,0,1,2160,1,0,1,0,1,2753,1,2474,1,2500,1,4106,1,2250,1,3367,1,4326,1,4115,1,4448,1,3077,1,3583,1,2750,1,2422,1,1699,1,2551,1,5527,10,0,1,0,1,5359,10,0,1,0,1,0,1,0,1,0,1
30,1845,1,2021,1,0,1,4669,1,0,1,0,1,4568,3,0,1,0,1,3599,1,3825,1,2755,1,3099,1,3597,1,3100,1,4324,1,4113,1,4446,1,3363,1,3601,1,3104,1,2398,1,2526,1,2539,1,5231,10,0,1,0,1,5559,10,0,1,0,1,0,1,0,1,0,1
31,1915,1,0,1,0,1,4700,1,4685,1,0,1,4603,3,4600,3,0,1,3586,1,2257,1,2765,1,4011,1,3827,1,3369,1,4332,1,4121,1,4454,1,3603,1,4013,1,3372,1,1633,1,2436,1,2334,1,5134,10,0,1,0,1,5409,10,5346,10,0,1,0,1,0,1,0,1
32,2578,1,0,1,0,1,4691,1,4645,1,0,1,4601,3,4602,3,0,1,3605,1,3835,1,3118,1,4456,1,3377,1,4016,1,2449,1,0,1,0,1,2763,1,3120,1,0,1,2487,1,2513,1,1776,1,5137,10,0,1,0,1,4790,10,4837,10,0,1,0,1,0,1,0,1
33,2462,1,3837,1,0,1,4712,1,4670,1,0,1,4599,3,0,1,0,1,2260,1,2501,1,0,1,2767,1,4022,1,3611,1,2745,1,2743,1,2735,1,3121,1,3379,1,3607,1,2565,1,2540,1,2527,1,5135,10,5136,10,5271,10,4798,10,5543,10,0,1,0,1,0,1,0,1
34,2411,1,1637,1,0,1,4701,1,4654,1,0,1,1969,1,2166,1,0,1,2475,1,3614,1,4024,1,4333,1,3613,1,0,1,2071,1,2758,1,1706,1,2776,1,3125,1,3383,1,2361,1,2374,1,2349,1,5114,10,0,1,0,1,5360,10,4791,10,0,1,0,1,0,1,0,1
35,1847,1,2023,1,1917,1,4719,1,0,1,0,1,4556,3,4579,3,4583,3,3386,1,3619,1,2786,1,3844,1,3841,1,3843,1,2123,1,4231,1,2078,1,3397,1,3131,1,2779,1,2552,1,2386,1,1778,1,5139,10,0,1,0,1,5562,10,4838,10,0,1,0,1,0,1,0,1
36,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
37,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
38,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
39,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
40,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
41,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
42,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
43,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
44,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
45,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
46,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
47,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
48,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
49,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
50,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
