key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203
8,65592,1,30,22,"INIT_POP_01","INIT_POP_02","INIT_POP_03","LOC_POS_PC_FIRST","LOC_POS_ACTOR0","LOC_ACTOR0","LOC_ACTOR1","INIT_ENPC_POP_01","LOC_ACTOR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3793627,3793628,3793632,3879492,3881989,10254,13037,3881989,13039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,65975,1,30,32,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","LOC_ACTOR0","LOC_BNPC_1","LOC_POS_PC_FIRST","LOC_POS_ACTOR0","LOC_PC_ACTION_1","LOC_ACTOR1","INIT_POP_01_P1","LOC_BNPC_ACTION1","LOC_ACTOR0_ACTION1","LOC_ACTOR0_ACTION2","INIT_POP_05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818776,3818777,3818778,3818779,13081,13082,3895601,3895602,81,10466,3906892,121,979,936,3927421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,65975,2,30,32,"INIT_POP_01","CUT_SCENE_01","CUT_SCENE_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818846,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,65981,1,30,10,"INIT_POP_BOSS","INIT_P_POP_IDA","INIT_P_POP_PAPARIMO","INIT_POP_ENEMY_B_01","INIT_POP_ENEMY_B_02","INIT_POP_ENEMY_B_03","INIT_POP_ENEMY_B_04","INIT_POP_ENEMY_B_05","INIT_POP_ENEMY_B_06","INIT_POP_ENEMY_A_01","INIT_POP_ENEMY_A_02","INIT_POP_ENEMY_A_03","INIT_POP_ENEMY_A_04","INIT_POP_ENEMY_A_05","INIT_POP_ENEMY_A_06","CUT_SCENE_01","CUT_SCENE_02","CUT_SCENE_03","CUT_SCENE_04","HOW_TO_QIB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3802315,3802271,3802272,4094218,4094220,4094232,4094233,4094474,4094475,4094238,4094239,4094240,4094471,4094472,4094473,54,55,56,57,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,65983,1,30,17,"INIT_NOTAR_P_POP_1ST_01","INIT_NOTAR_POP_1ST_01","INIT_NOTAR_P_POP_2ST_01","INIT_NOTAR_POP_2ST_01","INIT_NOTAR_POP_2ST_02","INIT_NOTAR_P_POP_3ST_01","INIT_NOTAR_POP_3ST_01","INIT_NOTAR_P_POP_4ST_01","INIT_NOTAR_POP_4ST_01","INIT_NOTAR_POP_4ST_02","INIT_NOTAR_P_POP_5ST_01","INIT_NOTAR_POP_5ST_01","INIT_NOTAR_POP_5ST_02","INIT_P_POP_1ST_01","INIT_P_POP_1ST_02","INIT_POP_1ST_BOSS","INIT_POP_1ST_EXC_01_01","INIT_POP_1ST_EXC_01_02","INIT_POP_1ST_EXC_01_03","INIT_POP_1ST_LNC_01_04","INIT_POP_1ST_LNC_01_05","INIT_POP_1ST_LNC_01_06","INIT_P_POP_1ST_03","INIT_P_POP_1ST_04","INIT_POP_1ST_CNJ_02_01","INIT_POP_1ST_CNJ_02_02","INIT_POP_1ST_EXC_02_03","INIT_POP_1ST_EXC_02_04","INIT_POP_1ST_LNC_02_05","INIT_POP_1ST_LNC_02_06","INIT_POP_1ST_MON_03_01","INIT_POP_2ND_01","INIT_POP_2ND_02","INIT_P_POP_2ND_01","INIT_P_POP_2ND_02","WARP_01","ACTION_CURE","ACTION_PRO","DEF_ACTION_MONSTER_SUMMON","DEF_ACTION_DOKUBARI","CUT_SCENE_01","CUT_SCENE_02","CUT_SCENE_03","DEF_POISON","DEF_WEATHER_BOSS","DEF_WEATHER_RETURN","BGM_MASKED_BATTLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3854583,3854586,3854588,3854584,3854721,3854673,3854720,3854674,3854719,3854724,3854675,3854715,3854723,4089300,4089305,4089289,4089296,4089297,4089298,4089292,4089293,4089294,3854581,3854582,3803263,3803264,4089325,3803269,3803267,3803268,4089330,4089338,3854784,4018837,4018839,3803262,120,123,867,619,58,59,60,18,19,2,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,65909,1,30,25,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_P_POP_01","INIT_P_POP_02","LOC_POS_ACTOR0","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_ACTOR4","LOC_ACTION1","LOC_FACE1","LOC_FACE2","LOC_FACE3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3860599,3860600,3860601,3860706,3860726,3872026,12993,12994,12995,12996,12997,827,607,617,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,65697,1,30,17,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","INIT_EO_POP_01","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_ACTOR4","INIT_P_POP_KUPURU_KOPO","DEF_ACTION_WS_CRITICAL_LANCER","INIT_EN_POP_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2319770,2319771,2319772,2319773,3867263,13008,10816,13016,13017,13018,4097283,477,4107577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,65665,1,30,12,"INIT_POP_01","LOC_POS_ACTOR0","LOC_POS_ACTOR1","LOC_ACTOR0","BNPC_NAME_01","DEF_ACTION_SAND_BREATH","DEF_BLIND","CUT_SCENE_01","CUT_SCENE_02","CUT_SCENE_03","CUT_SCENE_04","LOC_TALKSHAPE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3869528,3884691,3884694,13064,750,445,15,69,70,71,72,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,65628,1,30,17,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","INIT_P_POP_01","INIT_P_POP_02","BNPC_NAME_01","CUT_SCENE_01","CUT_SCENE_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3875540,3879109,3905947,3905948,3905949,3914511,622,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,65977,1,30,32,"INIT_POP_01","INIT_P_POP_01","IGNORE_TARGET_BNPC_ID","BNPC_NAME_01","CUT_SCENE_01","CUT_SCENE_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3796294,3873175,558,628,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,65856,1,30,12,"INIT_POP_01","ACTOR0","ACTOR1","ACTOR2","ACTOR3","ACTOR4","ACTOR5","ACTOR6","ACTOR7","ACTOR8","ACTOR9","ACTOR10","ACTOR11","ACTOR12","ACTOR13","ACTOR14","LOC_POS_ENPC1","ACTOR15","ACTOR16","LOC_POS_ENPC2","LOC_POS_ENPC3","ACTOR17","ACTOR6_POS","BNPC_NAME_01","DEF_ACTION_SAND_BREATH","DEF_BLIND","CUT_SCENE_01","CUT_SCENE_02","CUT_SCENE_03","CUT_SCENE_04","LOC_ACTOR0","LOC_POS_ENPC4","LOC_POS_ENPC5","LOC_TALKSHAPE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3872242,11578,12947,12948,12949,12950,12951,13028,12952,12953,12954,12956,12957,12958,12959,11353,3817003,12990,12991,3817009,3817004,12992,3817007,750,445,15,189,190,191,192,13064,4163979,4163982,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,65797,1,30,12,"INIT_P_POP_01","INIT_POP_01_01","INIT_POP_01_02","INIT_POP_01_03","INIT_POP_02_01","INIT_POP_02_02","INIT_POP_02_03","INIT_POP_03_01","DEF_ACTION_FLASH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3977801,3977803,3977804,3977805,3977807,3977808,3977809,3983981,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,65798,1,30,17,"INIT_P_POP_01","INIT_POP_01A_01","INIT_POP_01A_02","INIT_POP_01A_03","INIT_POP_01A_04","INIT_POP_01A_05","INIT_POP_02A_01","INIT_POP_02A_02","INIT_POP_02A_03","INIT_POP_02A_04","INIT_POP_02A_05","INIT_POP_02B_01","INIT_POP_02B_02","INIT_POP_03A_01","INIT_POP_03A_02","INIT_POP_03A_03","INIT_POP_03A_04","INIT_POP_03A_05","INIT_POP_03C_01","INIT_POP_03C_02","INIT_POP_03C_03","INIT_POP_03C_04","LOC_POS_ACTOR0","LOC_ACTOR0","LOC_FACE0","LOC_FACE1","CUT_SCENE_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3993254,3993614,3993615,3993616,3993617,3993618,3993218,3993219,3993220,3993221,3993222,3993250,3993251,3993388,3993389,3993390,3993391,3993392,3993399,3993528,3993529,3993544,4009165,14301,604,605,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,65799,1,30,22,"INIT_P_POP_01","INIT_P_POP_02","INIT_P_POP_03","INIT_P_POP_04","INIT_P_POP_05","INIT_POP_01A_01","INIT_POP_01A_02","INIT_POP_01A_03","INIT_POP_01A_04","INIT_POP_01B_01","INIT_POP_01B_02","INIT_POP_01B_03","INIT_POP_01C_01","INIT_POP_01C_02","INIT_POP_02A_01","INIT_POP_02A_02","INIT_POP_02A_03","INIT_POP_02A_04","INIT_POP_02B_01","INIT_POP_02B_02","INIT_POP_02B_03","INIT_POP_02D_01","INIT_POP_02D_02","INIT_POP_03A_01","INIT_POP_03A_02","INIT_POP_03A_03","INIT_POP_03A_04","INIT_POP_03E_01","INIT_POP_03E_02","INIT_POP_03E_03","INIT_POP_03BOSS_01","CUT_SCENE_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4000991,4001010,4001011,4001012,4001013,4001017,4001018,4001019,4001020,4001025,4001026,4001073,4001028,4001029,4001081,4001082,4001083,4001084,4001089,4001091,4001229,4001094,4001095,4001104,4001105,4001106,4001107,4001113,4001116,4001118,4001144,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,65800,1,30,27,"INIT_P_POP_01","INIT_POP_01","INIT_POP_02","INIT_POP_BOSS","LOC_POS_ACTOR0","LOC_POS_ACTOR1","LOC_POS_ACTOR2","LOC_ACTOR0","LOC_ACTOR1","LOC_FACE0","LOC_FACE1","LOC_FACE2","BNPC_NAME_01","INIT_ENPC_POP_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4004498,4004494,4004495,4004491,4011257,4011258,4011259,14301,14306,604,605,617,690,4065824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
