key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
11,15,15,15,15,11,9,0,0,0,83,55,10,16,0,0,0,33,33,15,0,163,15,0,163,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,135,135,0
12,16,16,16,16,12,10,0,0,0,86,56,10,17,0,0,0,34,34,17,0,170,17,0,170,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,133,140,140,0
13,17,17,17,17,13,10,0,0,0,89,58,11,17,0,0,0,36,36,19,0,178,19,0,178,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,145,145,0
14,19,19,19,19,14,11,0,0,0,92,59,11,18,0,0,0,37,37,20,0,186,20,0,186,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,143,150,150,0
15,20,20,20,20,16,11,0,0,0,95,61,12,19,0,0,0,39,39,22,0,192,22,0,192,0,0,22,0,5,5,5,0,0,0,0,0,14,14,14,14,14,14,0,13,22,22,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,148,148,155,155,0
16,21,21,21,21,18,12,0,0,0,98,62,12,20,0,0,0,40,40,23,0,200,23,0,200,0,0,23,0,5,5,5,0,0,0,0,0,14,14,14,14,14,14,0,14,23,23,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,152,152,160,160,0
17,23,23,23,23,20,13,0,0,0,101,64,13,21,0,0,0,42,42,25,0,208,25,0,208,0,0,25,0,5,5,5,0,0,0,0,0,14,14,14,14,14,14,0,15,25,25,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,157,157,165,165,0
18,24,24,24,24,22,13,0,0,0,104,65,13,21,0,0,0,44,44,27,0,217,27,0,217,0,0,27,0,5,5,5,0,0,0,0,0,15,15,15,15,15,15,0,16,27,27,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,162,162,170,170,0
19,25,25,25,25,24,14,0,0,0,107,66,14,22,0,0,0,46,46,29,0,225,29,0,225,0,0,29,0,5,5,5,0,0,0,0,0,15,15,15,15,15,15,0,17,29,29,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,167,167,175,175,0
20,27,27,27,27,27,15,0,0,0,110,68,14,23,0,0,0,48,48,30,0,233,30,0,233,0,0,30,0,5,5,5,0,0,0,0,0,16,16,16,16,16,16,0,18,30,30,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,172,172,180,180,0
21,29,29,29,29,29,16,0,0,0,113,69,15,24,0,0,0,50,50,32,0,243,32,0,243,0,0,32,0,5,5,5,0,0,0,0,0,17,17,17,17,17,17,0,19,32,32,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,176,176,185,185,0
22,31,31,31,31,31,18,0,0,0,116,71,15,26,0,0,0,52,52,35,0,253,35,0,253,0,0,35,0,5,5,5,0,0,0,0,0,17,17,17,17,17,17,0,21,35,35,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,181,181,190,190,0
23,33,33,33,33,33,19,0,0,0,119,72,16,27,0,0,0,54,54,38,0,265,38,0,265,0,0,38,0,5,5,5,0,0,0,0,0,18,18,18,18,18,18,0,23,38,38,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,186,186,195,195,0
24,35,35,35,35,35,20,0,0,0,122,74,16,28,0,0,0,56,56,40,0,277,40,0,277,0,0,40,0,5,5,5,0,0,0,0,0,18,18,18,18,18,18,0,25,40,40,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,191,191,200,200,0
25,37,37,37,37,37,22,0,0,0,125,75,17,30,0,0,0,58,58,43,0,289,43,0,289,0,0,43,0,5,5,5,0,0,0,0,0,19,19,19,19,19,19,0,27,43,43,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,196,196,205,205,0
26,39,39,39,39,39,24,0,0,0,128,77,17,31,0,0,0,61,61,46,0,301,46,0,301,0,0,46,0,5,5,5,0,0,0,0,0,20,20,20,20,20,20,0,29,46,46,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,200,200,210,210,0
27,41,41,41,41,41,25,0,0,0,131,78,18,32,0,0,0,64,64,49,0,311,49,0,311,0,0,49,0,5,5,5,0,0,0,0,0,20,20,20,20,20,20,0,31,49,49,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,205,205,215,215,0
28,43,43,43,43,43,27,0,0,0,134,80,18,33,0,0,0,66,66,53,0,323,53,0,323,0,0,53,0,5,5,5,0,0,0,0,0,21,21,21,21,21,21,0,33,53,53,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,210,210,220,220,0
29,45,45,45,45,45,29,0,0,0,137,81,19,35,0,0,0,69,69,57,0,335,57,0,335,0,0,57,0,5,5,5,0,0,0,0,0,22,22,22,22,22,22,0,35,57,57,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,215,215,225,225,0
30,48,48,48,48,48,31,0,0,0,140,82,19,36,0,0,0,72,72,60,0,347,60,0,347,0,0,60,0,5,5,5,0,0,0,0,0,22,22,22,22,22,22,0,38,60,60,0,50,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,220,220,230,230,0
31,50,50,50,50,50,33,0,0,0,143,84,20,37,0,0,0,74,74,64,0,362,64,0,362,0,0,64,0,5,5,5,0,0,0,0,0,23,23,23,23,23,23,0,40,64,64,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,224,224,235,235,0
32,53,53,53,53,53,35,0,0,0,146,85,20,37,0,0,0,77,77,68,0,376,68,0,376,0,0,68,0,5,5,5,0,0,0,0,0,24,24,24,24,24,24,0,42,68,68,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,229,229,240,240,0
33,56,56,56,56,56,38,0,0,0,149,87,21,38,0,0,0,79,79,71,0,389,71,0,389,0,0,71,0,5,5,5,0,0,0,0,0,25,25,25,25,25,25,0,45,71,71,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,234,234,245,245,0
34,59,59,59,59,59,40,0,0,0,152,88,21,39,0,0,0,82,82,75,0,404,75,0,404,0,0,75,0,5,5,5,0,0,0,0,0,26,26,26,26,26,26,0,48,75,75,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,239,239,250,250,0
35,61,61,61,61,61,42,0,0,0,155,90,22,40,0,0,0,85,85,79,0,418,79,0,418,0,0,79,0,5,5,5,0,0,0,0,0,27,27,27,27,27,27,0,51,79,79,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,244,244,255,255,0
36,64,64,64,64,64,45,0,0,0,158,91,23,40,0,0,0,88,88,83,0,430,83,0,430,0,0,83,0,5,5,5,0,0,0,0,0,28,28,28,28,28,28,0,54,83,83,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,248,248,260,260,0
37,67,67,67,67,67,47,0,0,0,161,93,24,41,0,0,0,91,91,89,0,444,89,0,444,0,0,89,0,5,5,5,0,0,0,0,0,29,29,29,29,29,29,0,57,89,89,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,253,253,265,265,0
38,71,71,71,71,71,51,0,0,0,164,94,25,42,0,0,0,94,94,94,0,458,94,0,458,0,0,94,0,5,5,5,0,0,0,0,0,30,30,30,30,30,30,0,61,94,94,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,258,258,270,270,0
39,74,74,74,74,74,53,0,0,0,167,95,26,42,0,0,0,98,98,99,0,472,99,0,472,0,0,99,0,5,5,5,0,0,0,0,0,31,31,31,31,31,31,0,65,99,99,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,263,263,275,275,0
40,77,77,77,77,77,56,0,0,0,170,97,27,43,0,0,0,101,101,104,0,488,104,0,488,0,0,104,0,5,5,5,0,0,0,0,0,32,32,32,32,32,32,0,69,104,104,0,105,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,268,268,280,280,0
41,81,81,81,81,81,60,0,0,0,173,98,28,44,0,0,0,104,104,110,0,506,110,0,506,0,0,110,0,5,5,5,0,0,0,0,0,33,33,33,33,33,33,0,73,110,110,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,272,272,285,285,0
42,84,84,84,84,84,63,0,0,0,176,100,29,46,0,0,0,108,108,116,0,524,116,0,524,0,0,116,0,5,5,5,0,0,0,0,0,34,34,34,34,34,34,0,77,116,116,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,277,277,290,290,0
43,88,88,88,88,88,66,0,0,0,179,101,30,47,0,0,0,111,111,122,0,544,122,0,544,0,0,122,0,5,5,5,0,0,0,0,0,35,35,35,35,35,35,0,81,122,122,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,282,282,295,295,0
44,92,92,92,92,92,70,0,0,0,182,103,31,48,0,0,0,115,115,128,0,564,128,0,564,0,0,128,0,5,5,5,0,0,0,0,0,37,37,37,37,37,37,0,85,128,128,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,287,287,300,300,0
45,95,95,95,95,95,73,0,0,0,185,104,32,50,0,0,0,119,119,135,0,584,135,0,584,0,0,135,0,5,5,5,0,0,0,0,0,38,38,38,38,38,38,0,89,135,135,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,292,292,305,305,0
46,99,99,99,99,99,77,0,0,0,188,106,33,51,0,0,0,124,124,142,0,604,142,0,604,0,0,142,0,5,5,5,0,0,0,0,0,39,39,39,39,39,39,0,93,142,142,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,296,296,310,310,0
47,103,103,103,103,103,81,0,0,0,191,107,34,52,0,0,0,128,128,149,0,623,149,0,623,0,0,149,0,5,5,5,0,0,0,0,0,41,41,41,41,41,41,0,98,149,149,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,301,301,315,315,0
48,108,108,108,108,108,85,0,0,0,194,108,35,53,0,0,0,132,132,156,0,643,156,0,643,0,0,156,0,5,5,5,0,0,0,0,0,42,42,42,42,42,42,0,103,156,156,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,306,306,320,320,0
49,112,112,112,112,112,89,0,0,0,197,110,36,55,0,0,0,137,137,163,0,663,163,0,663,0,0,163,0,5,5,5,0,0,0,0,0,43,43,43,43,43,43,0,108,163,163,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,311,311,325,325,0
50,117,117,117,117,117,93,0,0,0,200,111,37,56,0,0,0,142,142,170,0,683,170,0,683,0,0,170,0,5,5,5,0,0,0,0,0,45,45,45,45,45,45,0,113,170,170,0,147,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,316,316,330,330,0
51,118,118,118,118,118,94,0,0,0,203,112,37,56,0,0,0,144,144,171,0,684,171,0,684,0,0,171,0,5,5,5,0,0,0,0,0,47,47,47,47,47,47,0,114,171,171,0,149,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,316,316,335,335,0
52,120,120,120,120,120,96,0,0,0,206,112,37,56,0,0,0,147,147,172,0,686,172,0,686,0,0,172,0,5,5,5,0,0,0,0,0,48,48,48,48,48,48,0,115,172,172,0,150,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,0,0,317,317,340,340,0
53,121,121,121,121,121,97,0,0,0,209,112,37,56,0,0,0,149,149,174,0,687,174,0,687,0,0,174,0,5,5,5,0,0,0,0,0,50,50,50,50,50,50,0,116,174,174,0,152,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,0,0,317,317,345,345,0
54,123,123,123,123,123,98,0,0,0,212,112,37,56,0,0,0,151,151,175,0,689,175,0,689,0,0,175,0,5,5,5,0,0,0,0,0,51,51,51,51,51,51,0,117,175,175,0,153,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,0,0,318,318,350,350,0
55,124,124,124,124,124,100,0,0,0,215,113,37,56,0,0,0,154,154,176,0,690,176,0,690,0,0,176,0,5,5,5,0,0,0,0,0,53,53,53,53,53,53,0,118,176,176,0,155,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,0,0,318,318,355,355,0
56,126,126,126,126,126,101,0,0,0,218,113,37,57,0,0,0,156,156,177,0,692,177,0,692,0,0,177,0,5,5,5,0,0,0,0,0,54,54,54,54,54,54,0,118,177,177,0,156,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,0,0,319,319,360,360,0
57,127,127,127,127,127,102,0,0,0,221,113,37,57,0,0,0,158,158,178,0,693,178,0,693,0,0,178,0,5,5,5,0,0,0,0,0,56,56,56,56,56,56,0,119,178,178,0,158,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,0,0,319,319,365,365,0
58,129,129,129,129,129,103,0,0,0,224,113,38,57,0,0,0,161,161,179,0,695,179,0,695,0,0,179,0,5,5,5,0,0,0,0,0,57,57,57,57,57,57,0,120,179,179,0,160,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,0,0,320,320,370,370,0
59,130,130,130,130,130,105,0,0,0,227,114,38,57,0,0,0,163,163,181,0,696,181,0,696,0,0,181,0,5,5,5,0,0,0,0,0,59,59,59,59,59,59,0,121,181,181,0,161,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,0,0,320,320,375,375,0
60,132,132,132,132,132,106,0,0,0,230,114,38,57,0,0,0,165,165,182,0,698,182,0,698,0,0,182,0,5,5,5,0,0,0,0,0,60,60,60,60,60,60,0,122,182,182,0,163,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,0,0,321,321,380,380,0
61,133,133,133,133,133,107,0,0,0,233,114,38,57,0,0,0,168,168,183,0,699,183,0,699,0,0,183,0,5,5,5,0,0,0,0,0,62,62,62,62,62,62,0,123,183,183,0,164,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,0,0,321,321,385,385,0
62,135,135,135,135,135,109,0,0,0,236,114,38,58,0,0,0,170,170,184,0,701,184,0,701,0,0,184,0,5,5,5,0,0,0,0,0,63,63,63,63,63,63,0,124,184,184,0,166,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,0,0,322,322,390,390,0
63,136,136,136,136,136,110,0,0,0,239,115,38,58,0,0,0,172,172,185,0,702,185,0,702,0,0,185,0,5,5,5,0,0,0,0,0,65,65,65,65,65,65,0,125,185,185,0,167,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,0,0,322,322,395,395,0
64,138,138,138,138,138,111,0,0,0,242,115,38,58,0,0,0,175,175,186,0,704,186,0,704,0,0,186,0,5,5,5,0,0,0,0,0,66,66,66,66,66,66,0,126,186,186,0,169,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,0,0,323,323,400,400,0
65,139,139,139,139,139,113,0,0,0,245,115,39,58,0,0,0,177,177,188,0,705,188,0,705,0,0,188,0,5,5,5,0,0,0,0,0,68,68,68,68,68,68,0,127,188,188,0,171,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,0,0,323,323,405,405,0
66,140,140,140,140,140,114,0,0,0,248,115,39,58,0,0,0,179,179,189,0,707,189,0,707,0,0,189,0,5,5,5,0,0,0,0,0,69,69,69,69,69,69,0,127,189,189,0,172,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,0,0,324,324,410,410,0
67,142,142,142,142,142,115,0,0,0,251,116,39,58,0,0,0,182,182,190,0,708,190,0,708,0,0,190,0,5,5,5,0,0,0,0,0,71,71,71,71,71,71,0,128,190,190,0,174,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,0,0,324,324,415,415,0
68,143,143,143,143,143,116,0,0,0,254,116,39,59,0,0,0,184,184,191,0,710,191,0,710,0,0,191,0,5,5,5,0,0,0,0,0,72,72,72,72,72,72,0,129,191,191,0,175,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,0,0,325,325,420,420,0
69,145,145,145,145,145,118,0,0,0,257,116,39,59,0,0,0,186,186,192,0,711,192,0,711,0,0,192,0,5,5,5,0,0,0,0,0,74,74,74,74,74,74,0,130,192,192,0,177,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,0,0,325,325,425,425,0
70,146,146,146,146,146,119,0,0,0,260,116,39,59,0,0,0,189,189,193,0,713,193,0,713,0,0,193,0,5,5,5,0,0,0,0,0,75,75,75,75,75,75,0,131,193,193,0,178,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,0,0,326,326,430,430,0
71,148,148,148,148,148,120,0,0,0,263,117,39,59,0,0,0,191,191,195,0,714,195,0,714,0,0,195,0,5,5,5,0,0,0,0,0,77,77,77,77,77,77,0,132,195,195,0,180,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,0,0,326,326,435,435,0
72,149,149,149,149,149,122,0,0,0,266,117,39,59,0,0,0,193,193,196,0,716,196,0,716,0,0,196,0,5,5,5,0,0,0,0,0,78,78,78,78,78,78,0,133,196,196,0,181,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,0,0,327,327,440,440,0
73,151,151,151,151,151,123,0,0,0,269,117,40,59,0,0,0,196,196,197,0,717,197,0,717,0,0,197,0,5,5,5,0,0,0,0,0,80,80,80,80,80,80,0,134,197,197,0,183,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,0,0,327,327,445,445,0
74,152,152,152,152,152,124,0,0,0,272,117,40,60,0,0,0,198,198,198,0,719,198,0,719,0,0,198,0,5,5,5,0,0,0,0,0,81,81,81,81,81,81,0,135,198,198,0,185,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,0,0,328,328,450,450,0
75,154,154,154,154,154,126,0,0,0,275,118,40,60,0,0,0,200,200,199,0,720,199,0,720,0,0,199,0,5,5,5,0,0,0,0,0,83,83,83,83,83,83,0,136,199,199,0,186,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,0,0,328,328,455,455,0
76,155,155,155,155,155,127,0,0,0,278,118,40,60,0,0,0,203,203,200,0,722,200,0,722,0,0,200,0,5,5,5,0,0,0,0,0,84,84,84,84,84,84,0,136,200,200,0,188,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,0,0,329,329,460,460,0
77,157,157,157,157,157,128,0,0,0,281,118,40,60,0,0,0,205,205,202,0,723,202,0,723,0,0,202,0,5,5,5,0,0,0,0,0,86,86,86,86,86,86,0,137,202,202,0,189,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,0,0,329,329,465,465,0
78,158,158,158,158,158,129,0,0,0,284,118,40,60,0,0,0,207,207,203,0,725,203,0,725,0,0,203,0,5,5,5,0,0,0,0,0,87,87,87,87,87,87,0,138,203,203,0,191,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,0,0,330,330,470,470,0
79,160,160,160,160,160,131,0,0,0,287,119,40,60,0,0,0,210,210,204,0,726,204,0,726,0,0,204,0,5,5,5,0,0,0,0,0,89,89,89,89,89,89,0,139,204,204,0,192,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,0,0,330,330,475,475,0
80,161,161,161,161,161,132,0,0,0,290,119,41,61,0,0,0,212,212,205,0,728,205,0,728,0,0,205,0,10,10,10,0,0,0,0,0,90,90,90,90,90,90,0,140,205,205,0,194,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,0,0,331,331,480,480,0
81,165,165,165,165,165,137,0,0,0,293,119,41,61,0,0,0,217,217,209,0,729,209,0,729,0,0,209,0,10,10,10,0,0,0,0,0,93,93,93,93,93,93,0,143,209,209,0,197,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,0,0,331,331,485,485,0
82,168,168,168,168,168,141,0,0,0,296,119,41,61,0,0,0,221,221,213,0,730,213,0,730,0,0,213,0,10,10,10,0,0,0,0,0,96,96,96,96,96,96,0,146,213,213,0,201,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,0,0,332,332,490,490,0
83,172,172,172,172,172,146,0,0,0,299,120,41,61,0,0,0,226,226,217,0,732,217,0,732,0,0,217,0,10,10,10,0,0,0,0,0,99,99,99,99,99,99,0,150,217,217,0,204,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22,22,22,22,0,0,332,332,495,495,0
84,176,176,176,176,176,151,0,0,0,302,120,41,62,0,0,0,231,231,220,0,733,220,0,733,0,0,220,0,10,10,10,0,0,0,0,0,102,102,102,102,102,102,0,153,220,220,0,207,0,0,0,0,0,0,0,0,23,23,23,23,23,23,23,23,23,23,23,0,0,333,333,500,500,0
85,179,179,179,179,179,155,0,0,0,305,120,42,62,0,0,0,235,235,224,0,735,224,0,735,0,0,224,0,10,10,10,0,0,0,0,0,105,105,105,105,105,105,0,156,224,224,0,210,0,0,0,0,0,0,0,0,23,23,23,23,23,23,23,23,23,23,23,0,0,333,333,505,505,0
86,183,183,183,183,183,160,0,0,0,308,120,42,62,0,0,0,240,240,228,0,736,228,0,736,0,0,228,0,10,10,10,0,0,0,0,0,108,108,108,108,108,108,0,159,228,228,0,214,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,0,0,334,334,510,510,0
87,187,187,187,187,187,165,0,0,0,311,121,42,62,0,0,0,245,245,232,0,738,232,0,738,0,0,232,0,10,10,10,0,0,0,0,0,111,111,111,111,111,111,0,162,232,232,0,217,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,334,334,515,515,0
