key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
8,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"The realm is always in need of eager volunteers to tend to those tedious tasks which need tending. You have a certain air of eagerness about you. Try your hand at a levequest?","You appear eager to serve the realm. This is good! Unfortunately, you do not appear to be of body <Emphasis>or</Emphasis> mind to serve her that well. This is bad. Speak with <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi</Case></Switch> to see if there is any way we might loosen this knotty situation we find ourselves in.","For coin and country!","You appear eager to serve the realm. This is good! Unfortunately, you do not appear to be of body <Emphasis>or</Emphasis> mind to serve her that well. This is bad. Whet you blade...or bow, or staff, or whatever may be your weapon of choice on some of the poor creatures crawling about the area and speak to me again when you are ready to take on the world...or at least the world immediately outside the city walls.","The levewatches were impressed, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Here is your well-earned reward!","0","0","Oh, and don't let me forget this bounty. That was a noble display out there!"
9,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Good <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>morning</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If> to you, adventurer. And a fine <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>morning</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If> it is, I say. A fine <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>morning</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If> for a levequest!","Good <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>morning</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If> to you, adventurer. And a fine <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>morning</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If> it is, I say. A fine <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>morning</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If> to march back to the Adventurers' Guild in <Switch(IntegerParameter(1))><Case(1)>Limsa</Case><Case(2)>Gridania</Case><Case(3)>Ul'dah</Case></Switch> and set yourself straight with <Switch(IntegerParameter(1))><Case(1)>Baderon Tenfingers</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi Modi</Case></Switch>. Only then will I let you partake in some of these fine guildleves I hold here.","Off you are then! Time is of the essence!","Good <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>morning</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If> to you, adventurer. And a fine <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>morning</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If> it is, I say. A fine <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>morning</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If> to march back out into the field  Only then will I let you partake in some of these fine guildleves I hold here.","I see the desert heat wasn't too much for you. Here is your reward. See that you don't spend it all at the pub!","0","0","Oh, and the bounty! It almost slipped my mind. I believe you'll be wanting this, as well. Unless, that is, you don't, because I would be more than happy to─ You <Emphasis>do</Emphasis> want it, then. Alright. I suppose that's only fair, considering <Emphasis>you</Emphasis> were the one who killed the fiend."
10,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"A lonely place, this Swiftperch. That don't mean there ain't work to be done.","A lonely place, this Swiftperch. That don't mean there ain't work to be done...just not by the likes of an unbloodied fry like yerself. 'Til <Switch(IntegerParameter(1))><Case(1)>ol' Baderon Tenfingers</Case><Case(2)>Mother Miounne</Case><Case(3)>wee Momodi Modi</Case></Switch> hasn't signed off on ye, I'll entrust the safety of this godsforsaken corner of the realm to more capable hands.","I've me eye on ye and all, <If(PlayerParameter(4))>lass<Else/>lad</If>. See the job's done right, like.","A lonely place, this Swiftperch. That don't mean there ain't work to be done...just not by the likes of an unbloodied fry like yerself. 'Til ye've shown ye can hold yer own, I'll entrust the safety of this godsforsaken corner of the realm to more capable hands.","A fair lick, that were. Let me ready yer coin now, so as ye can be on yer way.","0","0","Ah, but not afore ye take this bounty. I saw what ye did up there to the wanted cur, like. Not flayt, were ye?"
11,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"I suppose you're here lookin' for some leves. Well, take your pick. But be quick about it. I haven't all day.","Let me ask you someaught. Do you like this hat? I like this hat. It took me ten summers of lickin' ol' Baderon's boot to get this hat─a <Emphasis>levemete's</Emphasis> hat. I'd like to keep this hat, and doin' so means I's got to follow the rules. And rule number one? No leves to those what ain't proved them sen. Now back to the Adventurers' Guild with you.","Best of luck to you, then. If I'm not here when you get back, might be I'm in the pub.","Let me ask you someaught. Do you like this hat? I like this hat. It took me ten summers of lickin' ol' Baderon's boot to get this hat─a <Emphasis>levemete's</Emphasis> hat. I'd like to keep this hat, and doin' so means I's got to follow the rules. And rule number one? No leves to those what ain't proved them sen. Now back out into the bloody battlefields with you.","You'll not get a single gil from me while the leve's─ Hold on a tick... The levewatch tells me all is right as rain. I'll ready your reward.","0","0","Then there's the wee matter of this bounty. I reckon you'll be lookin' to claim it."
12,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"You look to be of able mind and body. Might I interest you in a guildleve?","I sense a certain weakness of both body and mind. I cannot assign a guildleve to one such as yourself. Perhaps good Mother Miounne has a task or two with which you might prove your skills.","The spirits are ever watching, my friend. Prove to them you are worthy of the duty you have been entrusted.","I sense a certain weakness of both body and mind. I cannot assign a guildleve to one such as yourself. Perhaps you might prove your skills on some lesser foes before attempting to take on those which lurk nearby.","You return in one piece, so I can only assume that the spirits approve of your deeds. Allow me to prepare your reward.","0","0","And what is this? A little bird tells me that you have dispatched a wanted villain. That would make this bounty yours, as well."
13,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"The people here need any and all help that happens their wise. Might you be here to lend your blade?","The people of Little Ala Mhigo are in dire need of aid, but only from those with the capacity to give it. <Switch(IntegerParameter(1))><Case(1)>Baderon Tenfingers</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi Modi</Case></Switch> will decide whether or not you are worthy. I suggest speaking with <Switch(IntegerParameter(1))><Case(1)>him</Case><Case(2)>her</Case><Case(3)>her</Case></Switch> if you ever wish to embark on a levequest.","May you return unharmed.","The people of Little Ala Mhigo are in dire need of aid, but only from those with the capacity to give it. Prove you have that capacity in the field first if you ever wish to embark on one of our levequests.","You appear none the worse for wear. This reward should help lift your spirits.","0","0","As will this bounty for the wanted target you put down. A true menace, that character was."
14,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"0","0","0","0","0","0","0","0"
15,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"0","0","0","0","0","0","0","0"
16,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"0","0","0","0","0","0","0","0"
17,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"You have the air of a <If(PlayerParameter(4))>woman<Else/>man</If> who has seen <If(PlayerParameter(4))>her<Else/>his</If> share of adventure. If you are interested, I may have the perfect job for you.","I am Merthelin of the Adventurers' Guild. I am tasked with meting out guildleves to those who have proven themselves to guildmaster <Switch(IntegerParameter(1))><Case(1)>Baderon Tenfingers</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi Modi</Case></Switch>...of which you have not.","Make you preparations quickly and proceed with the task at hand. Your clients will be awaiting word of your success.","I am Merthelin of the Adventurers' Guild. I am tasked with meting out guildleves to those with the capacity to face the creatures of Tranquil Paths and return with their lives...of which you do not seem to possess.","Your work today is commendable. I shall see you recompensed at once.","0","0","Indeed, you have gone above and beyond the call of duty, what with slaying that wanted dastard. Here, the bounty is yours to take."
18,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"0","0","0","0","0","0","0","0"
19,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Western Thanalan needs your help. Are you <If(PlayerParameter(4))>woman<Else/>man</If> enough to give it?","Western Thanalan needs your help, but I've seen more worthy tumbleweed roll through the Crossing. You should climb your way back to the Adventurers' Guild and make yourself known to the guildmaster. Once I have the approval of the guild, then I might be able to accommodate you with a leve or two.","Good luck and godsspeed!","Western Thanalan needs your help, but I've seen more worthy tumbleweed roll through the Crossing. You should step out from behind the your mummy's frillies and bloody that weapon of yours. Once I find you fit, then I might consider entrusting you with a leve or two.","I see you are still with us in the realm of Nald. Thal will be disappointed, but he always is. Here is your reward.","0","0","And with it, the bounty you earned for slaying that wanted target. Impressive work, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Quite impressive."
20,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Here for work, are you? You and everyone else, it seems. Good thing we have a lot of it.","Here for work, are you? You and everyone else, it seems. The only difference being that they have been approved by <Switch(IntegerParameter(1))><Case(1)>Baderon Tenfingers</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi Modi</Case></Switch> of the Adventurers' Guild, and you have not.","See to it then.","Here for work, are you? You and everyone else, it seems. The only difference being that they have been approved by me, and you have not. How does one get approval, you ask? Killing, maiming, disemboweling, rending, cleaving, culling. The usual.","The levewatches have reported and I've adjusted your pay accordingly. No complains, you hear? I get enough from the two mummers flanking me.","0","0","Oh, and the bounty. You didn't think I would forget, did you? Did you?"
21,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Another adventurer, eh? A man can move to the very edge of the realm and he'll still bump into one of your kind. I suppose it's not all bad, though. Especially when there are leves to be done.","Used to be a 'Cuda. Manned the camp right beyond Limsa... Manned it that is, 'til I lost my big toe. A chunk of Dalamud fell straight on it. Consider myself lucky, though. Another ilm to the left, I'd have lost a lot more than that. Now, as for you... I've no leves for you. <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi Modi</Case></Switch>'s orders. Haul your arse back to the Adventurers' Guild if you've a problem with that.","Till the sea swallows you! Gah hah hah!","Used to be a 'Cuda. Manned the camp right beyond Limsa... Manned it that is, 'til I lost my big toe. A chunk of Dalamud fell straight on it. Consider myself lucky, though. Another ilm to the left, I'd have lost a lot more than that. Now, as for you... I've no leves for you. <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi Modi</Case></Switch> made it clear I'm to issue no quests to those without at least a few scars to prove their worth.","Look who's returned all giddy as a gil turtle. Now take the coin and be off with you.","0","0","And one last thing before you go─your share of the bounty. Unless you think I should keep it? Gah hah hah!"
22,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Well met. Let us find a leve that suits your talents.","The Adventurers' Guild has strict rules on who can and cannot partake in levequests. You fall in the latter half, as you have not received specific permission from guildmaster <Switch(IntegerParameter(1))><Case(1)>Baderon</Case><Case(2)>Mother Miounne</Case><Case(3)>Momodi Modi</Case></Switch>.","May the Navigator guide you!","The Adventurers' Guild has strict rules on who can and cannot partake in levequests. You fall in the latter half, as you have yet to prove yourself capable of handling the type of tasks I offer. Hone your skills in battle, and I may reconsider.","You were quick to return. The levemetes have only just reported your accomplishments. Allow me a moment to prepare your reward.","0","0","And here is the bounty for the wanted target. It would be a shame if your efforts went unrecognized."
23,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
24,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"I am Storm Sergeant First Class Eugene Rivers, charged with the issuing of Grand Company levequests.","I am not authorized to issue quests to those who have yet to prove themselves to the realm. Perhaps you should try your hand at several guildleves from the local Adventurers' Guild.","[MacroError]","I am not authorized to issue quests to those who have yet to prove themselves to the realm. Perhaps you should try your hand at several guildleves from the local Adventurers' Guild.","[MacroError]","Someone high up believed that it would be a fine idea to allow members from any Grand Company accept leves meant for the Maelstrom. I personally do not agree, but I have my orders. They did <Emphasis>not</Emphasis> mention aught of allowing those adventurers who had yet to pledge their allegiance to even the lowly Order of the Twin Adder, let alone the mighty Maelstrom.","0","0"
25,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Storm Sergeant First Class C'lafumyn Quoh. I have been given authorization to issue Grand Company levequests.","I will not issue Grand Company levequests to those who have not even completed a single leve for the Adventurers' Guild.","May the Navigator Guide you, <WARNING: unknown macro code ('ifComSea')><WARNING: unknown macro code ('ifComFst')><WARNING: unknown macro code ('ifComWil')> <Split(<Highlight>ObjectParameter(1)</Highlight>, ,2)/>!","I will not issue Grand Company levequests to those who have not even completed a single leve for the Adventurers' Guild.","[MacroError]","You do not appear to be affiliated with any of the Grand Companies of Eorzea. The leves I issue are only for those who have pledged to serve the realm.","I cannot issue company levequests to those who have not attained the rank of Sergeant Third Class. I have my orders.","0"
26,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"My duty within the Order of the Twin Adder is to issue Grand Company levequests.","You shall not be issued a single company leve until you have proven you can handle one issued by the Adventurers' Guild.","[MacroError]","You shall not be issued a single company leve until you have proven you can handle one issued by the Adventurers' Guild.","[MacroError]","I have no leves for you, civilian. Enlist yourself in a Grand Company─preferrably the Order of the Twin Adder─and then speak with me again.","0","0"
27,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"The Order of the Twin Adder has tasked me with the issuance of Grand Company levequests.","You must accept my apologies, but I must turn you away. You see, I cannot issue Grand Company leves to those who put themselves before the realm. Show your commitment to the aid of Eorzea's children by first accepting their tasks. The Adventurers' Guild will steer you true.","The Matron ever watches, <WARNING: unknown macro code ('ifComSea')><WARNING: unknown macro code ('ifComFst')><WARNING: unknown macro code ('ifComWil')> <Split(<Highlight>ObjectParameter(1)</Highlight>, ,2)/>.","You must accept my apologies, but I must turn you away. You see, I cannot issue Grand Company leves to those who put themselves before the realm. Show your commitment to the aid of Eorzea's children by first accepting their tasks. The Adventurers' Guild will steer you true.","[MacroError]","The Order of the Twin Adder has tasked me with the issuance of Grand Company levequests. They have also tasked me with turning away all those who have yet to enlist. Consider yourself turned away.","You must accept my apologies, but I must turn you away. You see, I cannot issue leves to those who have not proven their worth. Speak with me again upon attaining the rank of Sergeant Third Class.","0"
28,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"The name is Kikiri Kiri, but you can call me Sergeant Kiri. It's my duty to issue company leves, and you tell them I do a right fine job of it, if anyone asks.","No company leves for you, I'm afraid. The Adventurers' Guild hasn't given you their official stamp of approval, and you won't find me questioning any one of the guildmasters' judgment.","[MacroError]","No company leves for you, I'm afraid. The Adventurers' Guild hasn't given you their official stamp of approval, and you won't find me questioning any one of the guildmasters' judgment.","[MacroError]","No company leves for you, my friend. The Immortal Flames are required by allied decree to offer levequests to those belonging to lesser companies, namely the Maelstrom and the Order of the Twin...something or other, but nowhere does it state that we need to provide leves to common riff-raff.","0","0"
29,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Flame Sergeant First Class Eager Raptor. I suppose you're here to be issued a Grand Company levequest.","The commanding officer would have my head on a pike if I were to allow one who had yet to complete even the simplest of guild-issued levequests to undertake one of our tasks.","May you walk in the light of the crystal, <WARNING: unknown macro code ('ifComSea')><WARNING: unknown macro code ('ifComFst')><WARNING: unknown macro code ('ifComWil')> <Split(<Highlight>ObjectParameter(1)</Highlight>, ,2)/>.","The commanding officer would have my head on a pike if I were to allow one who had yet to complete even the simplest of guild-issued levequests to undertake one of our tasks.","[MacroError]","Apologies, adventurer. I am only authorized to issue leves to those who have enlisted in a Grand Company. You have not, and here we stand.","The commanding officer would have my head on a pike if he knew I'd issued a leve to someone who hadn't even earned the rank of Sergeant Third Class.","0"
