key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
12,90,"","",2,0,38,40,0,18,0,0,4,1,1,1,1,True,1,170,0,0,65536,0,0,0,0,0,0
13,90,"","",2,0,44,46,0,18,0,0,4,1,1,2,2,True,3,171,0,0,65536,0,0,0,2904,2908,0
14,90,"","",2,0,50,99,0,18,0,0,8,2,2,2,2,True,1,167,0,0,65536,0,0,0,0,0,0
15,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
16,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
17,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
18,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
19,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
20,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
21,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
22,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
23,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
10000,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
10001,30,"Basic Training: Enemy Parties","This battle exercise will test your ability to manage multiple parties of enemies.<br><br>Learn to draw single targets from groups using ranged attacks and engage them in locations far out of the lines of sight of other creatures.",3,40,10,12,0,18,0,0,4,1,1,1,1,False,1,214,0,111006,65536,0,0,0,1400,1411,1
10002,30,"Under the Armor","Bockman, a wandering revenant trapped in the corporeal realm, has reclaimed his legendary suit of armor and now waits silently near the Tam--Tara Deepcroft for any who would challenge him. Not only does the undead knight brandish a massive blade capable of incapacitating multiple victims in one fell stroke, but when threatened, Bockman will summon his decaying minions from the pits of the seventh hell.<br><br>Defeat the restless soul, and send him back to the Lifestream where he may, at long last, find peace.",3,40,10,12,10001,18,0,0,4,1,1,1,1,False,1,190,0,111001,65536,0,0,0,1500,1506,2
10003,30,"Basic Training: Enemy Strongholds","This battle exercise will test your ability to breach enemy stronghold defenses.<br><br>Eliminate targets in each of the three antechambers before infiltrating the final chamber and engaging the cyclopean toad who makes the cave its den. Making quick work of the creature is kef, for the yarzons who lurk behind the chamber's boulders and will emerge once they smell blood.",3,40,15,17,10002,18,0,0,4,1,1,1,1,False,1,215,0,111007,65536,0,0,0,1600,1619,3
10004,30,"Hero on the Halfshell","Wealthy noble, Teledji Adeledji, has had his prized pet, a rare gil turtle, kidnapped by ruthless bandits who seek a sizable ransom for the gentle wavekin's return. Always a man of principle, Teledji Adeledji has decided that instead of caving to the bandit's demands, he will offer the ransom to anyone who can safely retrieve his pet from the clutches of evil.<br><br>After weakening the gil turtle, slay fire sprites and use their cores to light a special herb on fire. The smoke released should be powerful enough to put the creature to sleep, but only if the turtle is close enough to the flames.",3,40,15,17,10003,18,0,0,4,1,1,1,1,False,1,216,0,111008,65536,0,0,0,1700,1715,4
10005,30,"Pulling Poison Posies","The forest's landtraps have reached maturity and begun releasing noisome pollen clusters in their efforts to reproduce. When taken into the lungs, the pollen can cause severe irritation, nausea, and in the case of extended exposure, even death. These vile seedkin must be dealt with before the entire Twelveswood is engulfed in a cloud of despair!",3,40,20,22,10004,18,0,0,4,1,1,1,1,False,1,191,0,111002,65536,0,0,0,1800,1811,5
10006,30,"Stinging Back","A notorious band of outlaws known as the Redbelly Wasps is seeking to establish a new hideout near the Thousand Maws of Toto--Rak.<br><br>Once the leader is attacked, he will summon nearby allies to his aid, including powerful conjurers skilled in the arts of healing. Defeating these allies before engaging their leader will greatly increase your chance of success.",3,40,20,22,10005,18,0,0,4,1,1,1,1,False,1,192,0,111003,65536,0,0,0,1900,1915,6
10007,30,"All's Well that Ends in the Well","Hostile sylphs who would rather see the Twelveswood burn before making peace with the people of Gridania have begun using their forbidden magicks to charm the forest's creatures into doing their bidding. Temporarily enhanced by the spells, these turned creatures now possess the ability to enfeeble their victims with terrible poisons and wide-reaching attacks.<br><br>Only by slaying the renegade sylph leader Briaxio of the Well will the creatures' minds be freed.",3,40,25,27,10006,18,0,0,4,1,1,1,1,False,1,220,0,111005,65536,0,0,0,2000,2009,7
10008,30,"Flicking Sticks and Taking Names","A lawless cadre of goblins has seized the Matron's Lethe, preventing passage to and from the upper reaches of the Twelveswood. Now, all those who approach are greeted with a shower of time-activated bombs tossed from behind makeshift barricades.<br><br>Slay the goblins, defeat their leader, and reclaim the area, so that travel through the forest will be safe once again.",3,40,25,27,10007,18,0,0,4,1,1,1,1,False,1,219,0,111004,65536,0,0,0,2100,2109,8
10009,30,"More than a Feeler","A massive tangle of vivified briar and vines known by the locals as Toxic Tamlyn has taken root in Fool Falls and is poisoning the water which flows into the Nym River, and eventually down to the Rhotano Sea and Limsa Lominsa. The morbol must be slain before the city-state's entire freshwater supply is contaminated, but to do so will require entering an area churning with deadly bubbles that release noisome fumes and bloodthirsty denizens of the deep.",3,40,30,32,10008,18,0,0,4,1,1,1,1,False,1,221,0,111009,65536,0,0,0,2200,2213,9
10010,30,"Annoy the Void","A terrible creature calling itself Buso has made a nearby mineshaft his new home away from the void. Slay the fiend before he can do whatever it is he came from the dark reaches of the outerworld to do.<br><br>Buso draws his power from eerie blue flames which erupt from the carcasses of minions summoned from the void and then sacrificed here in this realm. While these flames burn, Buso will be nigh indestructible. Extinguish the fires before attempting to engage him.",3,40,30,32,10009,18,0,0,4,1,1,1,1,False,1,222,0,111010,65536,0,0,0,2300,2314,10
10011,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
20000,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
20001,90,"The Bowl of Embers","Owing to a betrayal, you have been captured by the Amalj'aa and taken to their stronghold of Zanr'ak, there to be given as an offering to the primal Ifrit. If you are to survive this fiery encounter with the Lord of the Inferno, you and your comrades must fight with no less than every onze of your strength. Should you fall, your souls shall burn for eternity...",4,120,30,30,0,18,86,0,8,2,2,2,2,False,1,202,0,0,65536,0,0,0,2600,2605,1
20002,30,"O'Ghomoro","O'Ghomoro",4,36,45,50,0,18,0,0,4,1,1,1,1,False,1,206,0,0,65536,0,0,0,0,0,2
20003,30,"The Howling Eye","The Howling Eye",4,36,45,50,0,18,0,0,0,0,0,0,0,False,1,208,0,0,65536,0,0,0,0,0,3
20004,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
30000,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
30001,120,"Crystal Tower - 1F","Crystal Tower - 1F",1,0,50,100,0,18,0,0,24,1,1,1,1,True,1,174,0,0,65536,0,0,0,0,0,1
30002,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
40000,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
40001,30,"The Arena","The Arena",5,0,1,100,0,18,0,0,1,0,0,0,0,False,1,175,0,0,65536,0,0,0,0,0,1
40002,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
65000,60,"The Seventh Gate of Hell","The Seventh Gate of Hell",2,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
