key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
22,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True
23,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
24,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
25,True,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
26,True,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
27,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,True,True,True,False,True
28,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
29,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,False,True
30,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True
31,True,True,False,False,True,False,False,False,True,True,True,False,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,True
32,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
33,True,True,False,True,False,False,False,False,True,True,True,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,True
34,True,True,True,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True
35,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
36,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,True,True,True,True
37,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
38,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True
39,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True
40,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
41,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
42,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
43,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
44,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
45,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
46,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
47,True,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True
48,True,True,False,True,True,False,False,False,True,True,True,False,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True
49,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,False,True,True,True,True,True,True
50,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True
51,True,True,False,True,True,False,False,False,True,True,True,False,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True
52,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,True
53,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,True
54,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,True
55,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,True,True,True
56,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,True
57,True,True,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True
58,True,True,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,True
59,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True
60,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False,True
61,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True
62,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,True,True,True
63,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True
64,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,True,True,True
65,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,True,True,True
66,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
67,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
68,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
69,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,True,True,True
70,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
71,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True
72,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
73,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True
74,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True
75,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True
76,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
77,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
78,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
79,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
80,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True
81,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
82,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
83,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
84,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
85,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
86,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
87,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
88,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True
89,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
90,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
91,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
92,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
93,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
94,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
95,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True
96,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True
97,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True
98,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True
99,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True
100,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True
101,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True
102,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True
103,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True
104,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True
105,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,False,True,True
106,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True
107,True,True,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,True
108,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True
109,True,True,False,True,True,False,True,False,True,True,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True
110,True,True,False,True,True,False,True,False,True,True,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True
111,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True,False,True
112,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True,False,True
113,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True,False,True
114,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True
115,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True
116,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True
117,True,True,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True
118,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True,False,True
119,True,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True
120,True,True,False,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,True,True,False,True
121,True,True,False,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,True,True,False,True
122,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True
123,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True
124,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True
125,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,True
126,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,True,True,True,True
127,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,True
128,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
129,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
130,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
131,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True
132,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
133,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,True
