key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
8,"fire crystal",0,"fire crystals",0,0,1,0,0,"A crystalline manifestation of aetheric fire energy.","Fire Crystal",20007,25,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,229,472,False,False,False,False,False,False,False,0,28,0,0,0,0,False
9,"ice crystal",0,"ice crystals",0,1,1,0,0,"A crystalline manifestation of aetheric ice energy.","Ice Crystal",20009,25,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,229,472,False,False,False,False,False,False,False,0,27,0,0,0,0,False
10,"wind crystal",0,"wind crystals",0,0,1,0,0,"A crystalline manifestation of aetheric wind energy.","Wind Crystal",20010,25,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,229,472,False,False,False,False,False,False,False,0,26,0,0,0,0,False
11,"earth crystal",0,"earth crystals",0,1,1,0,0,"A crystalline manifestation of aetheric earth energy.","Earth Crystal",20012,25,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,229,472,False,False,False,False,False,False,False,0,25,0,0,0,0,False
12,"lightning crystal",0,"lightning crystals",0,0,1,0,0,"A crystalline manifestation of aetheric lightning energy.","Lightning Crystal",20011,25,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,229,472,False,False,False,False,False,False,False,0,24,0,0,0,0,False
13,"water crystal",0,"water crystals",0,0,1,0,0,"A crystalline manifestation of aetheric water energy.","Water Crystal",20008,25,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,229,472,False,False,False,False,False,False,False,0,23,0,0,0,0,False
14,"fire cluster",0,"fire clusters",0,0,1,0,0,"A large crystalline manifestation of aetheric fire energy.","Fire Cluster",20013,50,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,990,2475,False,False,False,False,False,False,False,0,18,0,0,0,0,False
15,"ice cluster",0,"ice clusters",0,1,1,0,0,"A large crystalline manifestation of aetheric ice energy.","Ice Cluster",20015,50,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,990,2475,False,False,False,False,False,False,False,0,17,0,0,0,0,False
16,"wind cluster",0,"wind clusters",0,0,1,0,0,"A large crystalline manifestation of aetheric wind energy.","Wind Cluster",20016,50,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,990,2475,False,False,False,False,False,False,False,0,16,0,0,0,0,False
17,"earth cluster",0,"earth clusters",0,1,1,0,0,"A large crystalline manifestation of aetheric earth energy.","Earth Cluster",20018,50,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,990,2475,False,False,False,False,False,False,False,0,15,0,0,0,0,False
18,"lightning cluster",0,"lightning clusters",0,0,1,0,0,"A large crystalline manifestation of aetheric lightning energy.","Lightning Cluster",20017,50,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,990,2475,False,False,False,False,False,False,False,0,14,0,0,0,0,False
19,"water cluster",0,"water clusters",0,0,1,0,0,"A large crystalline manifestation of aetheric water energy.","Water Cluster",20014,50,1,0,9999,11,0,59,58,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,33,990,2475,False,False,False,False,False,False,False,0,13,0,0,0,0,False
20,"Storm Seal",0,"Storm Seals",0,0,1,0,0,"Company currency printed and distributed by the Maelstrom.","Storm Seal",61474,1,1,0,999999,16,0,63,0,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,1,1,1,False,False,False,False,False,False,False,0,98,0,0,0,0,False
21,"Serpent Seal",0,"Serpent Seals",0,0,1,0,0,"Company currency printed and distributed by the Order of the Twin Adder.","Serpent Seal",61475,1,1,0,999999,16,0,63,0,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,1,1,1,False,False,False,False,False,False,False,0,97,0,0,0,0,False
22,"Flame Seal",0,"Flame Seals",0,0,1,0,0,"Company currency printed and distributed by the Immortal Flames.","Flame Seal",61476,1,1,0,999999,16,0,63,0,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,1,1,1,False,False,False,False,False,False,False,0,95,0,0,0,0,False
23,"Allagan tomestone of philosophy",0,"Allagan tomestones of philosophy",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Philosophy",61482,70,1,0,9999,16,0,63,0,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,1,1,1,False,False,False,False,False,False,False,0,94,0,0,0,0,False
24,"Allagan tomestone of mythology",0,"Allagan tomestones of mythology",0,1,1,0,0,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.","Allagan Tomestone of Mythology",61483,90,1,0,9999,16,0,63,0,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,1,1,1,False,False,False,False,False,False,False,0,93,0,0,0,0,False
25,"Wolf Mark",0,"Wolf Marks",0,0,1,0,0,"Currency printed and distributed by the Alliance.","Wolf Mark",61484,55,1,0,999999,16,0,63,0,1,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,1,1,1,False,False,False,False,False,False,False,0,92,0,0,0,0,False
26,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
27,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
28,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
29,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
30,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
31,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
32,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
33,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
34,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
35,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
36,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
37,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
38,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
39,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
40,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
41,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
42,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
43,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
44,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
45,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
46,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
47,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
48,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
49,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
50,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
51,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
52,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
53,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
54,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,0,0,0,0,0,False
